INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
269311789,06/04/2023,21:01:00,QUEENS,OUTSIDE,109,0,STREET,-1,N,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,,
270085087,06/19/2023,22:05:00,MANHATTAN,OUTSIDE,33,0,OTHER,-1,N,-1,-1,-1,25-44,F,BLACK,,
272881671,08/14/2023,02:50:00,BROOKLYN,OUTSIDE,69,0,COMMERCIAL,GAS STATION,N,-1,-1,-1,25-44,M,BLACK,,
270388044,06/25/2023,21:05:00,QUEENS,OUTSIDE,100,1,TRANSIT,-1,N,-1,-1,-1,25-44,M,WHITE HISPANIC,,
278563881,12/05/2023,23:40:00,MANHATTAN,OUTSIDE,23,0,STREET,-1,N,18-24,M,BLACK,18-24,M,BLACK,,
271753275,07/23/2023,00:27:00,QUEENS,OUTSIDE,115,0,STREET,-1,N,45-64,M,BLACK,25-44,M,BLACK,40.761569,-73.871215
275824274,10/12/2023,03:13:00,MANHATTAN,OUTSIDE,24,0,STREET,-1,N,25-44,F,BLACK HISPANIC,25-44,M,BLACK,40.788792,-73.966781
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,N,45-64,M,WHITE HISPANIC,25-44,M,BLACK,40.846117,-73.892569
278201749,11/28/2023,17:45:00,BROOKLYN,OUTSIDE,81,1,TRANSIT,-1,N,18-24,M,WHITE HISPANIC,45-64,M,ASIAN / PACIFIC ISLANDER,40.6788705991623,-73.92164580117114
268390098,05/17/2023,06:28:00,BRONX,OUTSIDE,50,0,STREET,-1,Y,25-44,M,BLACK,25-44,M,BLACK HISPANIC,40.881967,-73.898543
272815858,08/12/2023,02:43:00,BROOKLYN,INSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,25-44,M,BLACK,40.695783,-73.939093
270814572,07/04/2023,01:10:00,BROOKLYN,INSIDE,77,0,STREET,-1,N,-1,-1,-1,25-44,M,BLACK,40.669355,-73.924018
266356479,04/07/2023,15:30:00,BRONX,INSIDE,47,0,OTHER,HOSPITAL,N,-1,-1,-1,25-44,M,BLACK,40.894489,-73.86081
263068067,02/05/2023,01:34:00,BROOKLYN,OUTSIDE,67,0,STREET,-1,N,-1,-1,-1,25-44,M,BLACK,40.648814,-73.915526
273301859,08/22/2023,19:51:00,QUEENS,OUTSIDE,113,0,COMMERCIAL,BEAUTY/NAIL SALON,N,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK,40.685529,-73.773485
279547332,12/26/2023,23:31:00,BRONX,OUTSIDE,46,0,STREET,-1,N,45-64,M,WHITE HISPANIC,45-64,M,WHITE,40.852951,-73.903178
267267403,04/25/2023,18:15:00,BRONX,OUTSIDE,40,0,STREET,-1,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.814603,-73.913955
270489846,06/27/2023,12:27:00,BRONX,INSIDE,41,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,45-64,M,BLACK,40.821404,-73.898938
263623274,02/14/2023,11:54:00,BROOKLYN,OUTSIDE,75,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,-1,-1,-1,45-64,M,BLACK,40.672515,-73.89167
275682382,10/10/2023,02:42:00,QUEENS,INSIDE,114,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,WHITE,25-44,M,WHITE,40.785284,-73.914172
262882569,02/01/2023,19:00:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,COMMERCIAL BLDG,N,-1,-1,-1,25-44,M,BLACK,40.676531,-73.866944
277829335,11/20/2023,20:16:00,BROOKLYN,OUTSIDE,66,0,STREET,-1,N,-1,-1,-1,18-24,M,WHITE HISPANIC,40.64453524491852,-73.99426690452187
274445543,09/14/2023,12:30:00,BRONX,OUTSIDE,40,0,STREET,-1,N,18-24,M,BLACK,65+,F,WHITE HISPANIC,40.80755382044926,-73.91921496573
272815861,08/12/2023,20:18:00,BRONX,OUTSIDE,46,0,STREET,-1,N,<18,M,BLACK HISPANIC,<18,M,BLACK,40.854422,-73.905587
261204520,01/01/2023,06:47:00,BRONX,OUTSIDE,40,0,STREET,-1,N,18-24,M,BLACK,<18,M,BLACK,40.812604,-73.924256
272365819,08/03/2023,19:29:00,BROOKLYN,INSIDE,67,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,BLACK,18-24,M,BLACK,40.659801,-73.922144
272031380,07/28/2023,00:50:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,-1,-1,-1,18-24,M,BLACK,40.82916325451129,-73.93726683976101
267282250,04/26/2023,00:31:00,BROOKLYN,OUTSIDE,75,0,DWELLING,-1,Y,25-44,M,BLACK,25-44,M,BLACK,40.666377,-73.899274
275824274,10/12/2023,03:13:00,MANHATTAN,OUTSIDE,24,0,STREET,-1,N,25-44,M,BLACK,25-44,M,BLACK,40.788792,-73.966781
266828892,04/17/2023,17:52:00,BROOKLYN,OUTSIDE,67,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,BLACK,40.664665,-73.923314
277788398,11/19/2023,19:04:00,BRONX,OUTSIDE,46,0,STREET,-1,Y,-1,-1,-1,25-44,M,BLACK,40.846527,-73.909249
276125028,10/18/2023,09:10:00,BROOKLYN,OUTSIDE,79,0,STREET,-1,N,-1,-1,-1,18-24,M,BLACK,40.681437,-73.949788
268088261,05/11/2023,00:41:00,BROOKLYN,INSIDE,77,0,DWELLING,-1,Y,-1,-1,-1,25-44,M,BLACK,40.671245,-73.926713
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,Y,18-24,M,BLACK,25-44,M,BLACK,40.903785,-73.850098
273194784,08/20/2023,18:15:00,BROOKLYN,OUTSIDE,60,0,STREET,-1,N,-1,-1,-1,25-44,M,BLACK,40.579154,-74.00037
261467498,01/05/2023,21:05:00,BROOKLYN,OUTSIDE,61,0,COMMERCIAL,LIQUOR STORE,Y,45-64,M,WHITE,25-44,M,WHITE,40.585577,-73.948792
273301861,08/22/2023,16:51:00,BRONX,OUTSIDE,47,0,COMMERCIAL,CHAIN STORE,N,18-24,M,BLACK,25-44,M,WHITE HISPANIC,40.904557,-73.849717
271076528,07/10/2023,00:06:00,MANHATTAN,OUTSIDE,5,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,40.709018,-73.997352
264689064,03/07/2023,14:18:00,BROOKLYN,INSIDE,72,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,BLACK,18-24,M,BLACK,40.654033,-74.004711
271818282,07/24/2023,02:40:00,BRONX,INSIDE,46,0,COMMERCIAL,BAR/NIGHT CLUB,Y,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,40.851308,-73.902116
268002604,05/09/2023,21:38:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,BLACK,40.795809,-73.946837
276785707,10/31/2023,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,-1,N,18-24,M,BLACK,25-44,M,BLACK,40.669827,-73.886771
